age,work_cate,fnlwgt,education,edu_nums,marital,profession,relation,race,gender,earnings,loss,hour,motherland,label
24,0,191954,1,10,1,9,1,0,0,0,0,40,0,0
77,2,138714,1,10,0,4,0,0,0,0,0,40,0,0
22,0,399087,21,3,0,9,9,0,2,0,0,40,2,0
29,0,423158,1,10,1,19,1,0,2,0,0,40,0,0
62,0,159841,0,9,7,5,1,0,2,0,0,24,0,0
39,2,174308,0,9,0,2,0,0,0,0,0,40,0,0
43,0,50356,1,10,0,1,0,0,0,0,1485,50,0,0
35,0,186110,0,9,4,14,1,0,0,0,0,45,0,0
29,0,200381,8,7,1,2,1,0,2,0,0,40,0,0
76,2,174309,6,14,0,1,0,0,0,0,0,10,0,0
63,2,78383,0,9,0,17,0,0,0,0,0,45,0,0
23,4,211601,7,11,1,11,3,2,2,0,0,15,0,0
43,0,187728,1,10,0,0,8,0,2,0,1887,50,0,1
58,2,321171,0,9,0,15,0,0,0,0,0,40,0,0
66,0,127921,0,9,1,14,1,0,0,2050,0,55,0,0
41,0,206565,1,10,1,1,1,2,0,0,0,45,0,0
26,0,224563,2,13,1,3,1,0,0,0,0,40,0,0
47,0,178686,7,11,1,5,1,0,0,0,0,40,0,0
55,3,98545,11,6,0,3,0,0,0,0,0,40,0,0
53,0,242606,0,9,0,14,0,0,0,0,0,40,0,0
17,0,270942,21,3,1,5,9,0,0,0,0,48,2,0
30,0,94235,0,9,1,1,9,0,0,0,0,40,0,0
49,0,71195,6,14,1,0,1,0,0,0,0,60,0,0
19,0,104112,0,9,1,4,5,2,0,0,0,30,32,0
45,0,261192,0,9,0,5,0,2,0,0,0,40,0,0
26,0,94936,9,12,1,4,1,0,0,0,0,40,0,0
38,0,296478,7,11,0,1,0,0,0,7298,0,40,0,1
36,6,119272,0,9,0,22,0,0,0,7298,0,40,0,1
33,0,85043,0,9,1,17,1,0,0,0,0,20,0,0
22,6,293364,1,10,1,22,3,2,2,0,0,40,0,0
43,2,241895,2,13,1,4,1,0,0,0,0,42,0,0
67,4,36135,8,7,0,11,0,0,0,0,0,8,0,0
30,4,151989,7,11,4,11,5,0,2,0,0,40,0,0
56,0,101128,9,12,10,5,1,0,0,0,0,25,33,0
31,0,156464,2,13,1,0,3,0,0,0,0,25,0,0
33,0,117963,2,13,0,2,0,0,0,0,0,40,0,1
26,0,192262,0,9,0,5,0,0,0,0,0,40,0,0
33,0,111363,2,13,0,2,0,0,0,0,0,40,0,1
46,3,329752,8,7,0,14,0,0,0,0,0,30,0,0
59,4,372020,2,13,0,11,0,0,0,0,0,40,0,1
38,10,95432,0,9,0,3,0,0,0,0,0,40,0,1
65,0,161400,8,7,7,5,5,7,0,0,0,40,0,0
40,0,96129,7,11,0,19,0,0,0,0,0,40,0,1
42,0,111949,0,9,0,3,8,0,2,0,0,35,0,0
26,2,117125,17,5,0,1,0,0,0,0,0,40,35,0
36,0,348022,11,6,0,5,8,0,2,0,0,24,0,0
62,0,270092,6,14,0,0,0,0,0,0,0,40,0,1
43,0,180609,2,13,0,14,0,0,0,0,0,45,0,0
43,0,174575,2,13,4,2,1,0,0,0,1564,45,0,1
22,0,410439,0,9,10,4,1,0,0,0,0,55,0,0
28,0,92262,0,9,0,1,0,0,0,0,0,40,0,0
56,2,183081,1,10,0,4,0,0,0,0,0,45,0,0
22,0,362589,9,12,1,4,1,0,2,0,0,15,0,0
57,0,212448,2,13,4,2,1,0,2,0,0,45,0,1
39,0,481060,0,9,4,4,5,0,2,0,0,40,0,0
26,10,185885,1,10,1,3,5,0,2,0,0,15,0,0
17,0,89821,8,7,1,5,3,0,0,0,0,10,0,0
40,6,184018,7,11,0,9,0,0,0,0,0,38,0,1
45,0,256649,0,9,0,9,0,2,0,0,0,40,0,0
44,0,160323,0,9,1,1,1,2,0,0,0,40,0,0
20,3,350845,1,10,1,3,3,0,2,0,0,10,0,0
33,0,267404,0,9,0,1,8,0,2,0,0,40,0,0
23,0,35633,1,10,1,4,1,0,0,0,0,40,0,0
46,2,80914,6,14,4,2,1,0,0,0,0,30,0,0
38,0,172927,0,9,0,4,0,0,0,0,0,50,0,0
54,0,174319,0,9,4,14,1,0,0,0,0,40,0,0
46,0,214955,21,3,4,1,1,0,2,0,2339,45,0,0
25,0,344991,1,10,0,1,0,0,0,0,0,40,0,0
46,0,108699,1,10,4,4,1,0,2,0,0,40,0,0
36,3,117312,1,10,0,14,8,0,2,0,0,40,0,0
23,0,396099,0,9,1,5,1,0,2,0,0,25,0,0
29,0,134152,0,9,6,9,1,0,0,0,0,40,0,0
44,0,162028,1,10,0,3,8,0,2,0,2415,6,0,1
19,0,25429,1,10,1,3,3,0,2,0,0,16,0,0
19,0,232392,0,9,1,5,9,0,2,0,0,40,0,0
35,0,220098,0,9,0,5,8,0,2,0,0,40,0,1
27,0,301302,2,13,1,1,1,0,0,0,0,50,0,0
46,2,277946,9,12,6,1,1,0,0,0,0,40,0,0
34,6,98101,2,13,0,2,0,0,0,7688,0,45,3,1
34,0,196164,0,9,1,5,1,0,2,0,0,35,0,0
44,0,115562,1,10,0,19,0,0,0,0,0,40,0,0
45,0,96975,1,10,4,15,5,0,2,0,0,40,0,0
20,4,137300,0,9,1,11,9,0,2,0,0,35,0,0
25,0,86872,2,13,0,2,0,0,0,0,0,55,0,1
52,7,132178,2,13,0,2,0,0,0,0,0,50,0,1
20,0,416103,1,10,1,15,3,0,0,0,0,40,0,0
28,0,108574,1,10,1,5,1,0,2,0,0,40,0,0
50,6,288353,2,13,0,22,0,0,0,0,0,40,0,1
34,0,227689,7,11,4,19,1,0,2,0,0,64,0,0
28,0,166481,13,4,0,15,0,7,0,0,2179,40,9,0
41,0,445382,6,14,0,2,0,0,0,0,1977,65,0,1
28,0,110145,0,9,0,3,0,0,0,0,0,40,0,0
46,2,317253,0,9,0,1,0,0,0,0,0,25,0,0
28,4,123147,1,10,0,11,8,0,2,0,1887,40,0,1
32,0,364657,1,10,0,2,0,0,0,0,0,50,0,0
41,3,42346,1,10,4,5,1,2,2,0,0,24,0,0
24,0,241951,0,9,1,15,5,2,2,0,0,40,0,0
33,0,118500,1,10,4,2,5,0,2,0,0,40,0,0
46,0,188386,20,16,0,2,0,0,0,15024,0,60,0,1
31,6,1033222,1,10,0,9,0,0,0,0,0,40,0,0
35,0,92440,19,8,4,1,1,0,0,0,0,50,0,1
52,0,190762,28,2,0,9,0,0,0,0,0,40,2,0
30,0,426017,8,7,1,5,3,0,2,0,0,19,0,0
34,3,243867,8,7,6,9,1,2,0,0,0,40,0,0
34,6,240283,0,9,4,14,5,0,2,0,0,40,0,0
20,0,61777,1,10,0,4,0,0,0,0,0,30,0,0
17,0,175024,8,7,1,15,3,0,0,2176,0,18,0,0
32,6,92003,2,13,0,2,8,0,2,0,0,40,0,1
29,0,188401,0,9,4,17,1,0,0,0,0,40,0,0
33,0,228528,11,6,1,1,5,0,2,0,0,35,0,0
25,0,133373,0,9,0,14,0,0,0,0,0,60,0,0
36,10,255191,6,14,1,0,1,0,0,0,1408,40,0,0
23,0,204653,0,9,1,15,1,0,0,0,0,72,19,0
63,7,222289,0,9,0,2,0,0,0,0,0,40,0,1
47,3,287480,6,14,0,0,0,0,0,0,0,40,0,0
80,4,107762,0,9,7,11,1,0,0,0,0,24,0,0
17,4,202521,8,7,1,11,3,0,0,0,0,40,0,0
40,2,204116,2,13,10,0,1,0,2,2174,0,40,0,0
30,0,29662,9,12,0,5,8,0,2,0,0,25,0,1
27,0,116358,1,10,1,1,3,4,0,0,1980,40,6,0
33,0,208405,6,14,0,0,0,0,0,0,0,50,0,1
34,3,284843,0,9,1,17,1,2,0,594,0,60,0,0
34,3,117018,1,10,1,22,1,0,2,0,0,40,0,0
23,0,81281,1,10,0,3,0,0,0,0,0,40,0,0
42,3,340148,1,10,0,3,8,0,2,0,0,40,0,0
29,0,363425,2,13,1,0,1,0,0,0,0,40,0,0
45,0,45857,0,9,4,3,1,0,2,0,0,28,0,0
24,10,191073,0,9,1,28,3,0,0,0,0,40,0,0
44,0,116632,1,10,0,0,0,0,0,0,0,40,0,1
27,0,405855,17,5,1,1,9,0,0,0,0,40,2,0
20,0,298227,1,10,1,4,1,0,0,0,0,35,0,0
